[106.2388, 334.424502];[134.249192, 334.424502];[106.2388, 352.507588];[134.249192, 352.507588];0
[44.0392, 339.7925];[55.205863, 339.7925];[44.0392, 360.2975];[55.205863, 360.2975];1
[570.4192, 72.7175];[577.690039, 72.7175];[570.4192, 93.2225];[577.690039, 93.2225];1
[428.2084, 85.028802];[496.436004, 85.028802];[428.2084, 103.111888];[496.436004, 103.111888];0
[150.7666, 334.424502];[181.403392, 334.424502];[150.7666, 352.507588];[181.403392, 352.507588];0
[243.413, 342.0627];[257.189, 342.0627];[243.413, 374.8707];[257.189, 374.8707];1
[416.3529, 341.5801];[541.158544, 341.5801];[416.3529, 374.3881];[541.158544, 374.3881];0
[322.658637, 356.116136];[329.755068, 356.116136];[322.658637, 374.199222];[329.755068, 374.199222];1
[568.4542, 339.7925];[579.620863, 339.7925];[568.4542, 360.2975];[579.620863, 360.2975];1
[442.446209, 376.237982];[515.068894, 376.237982];[442.446209, 394.327488];[515.068894, 394.327488];0
[282.0781, 405.803402];[335.668704, 405.803402];[282.0781, 423.886488];[335.668704, 423.886488];0
[414.8045, 427.532402];[468.569263, 427.532402];[414.8045, 445.615488];[468.569263, 445.615488];0
[189.9551, 448.206602];[208.28181, 448.206602];[189.9551, 466.289688];[208.28181, 466.289688];3
[354.356412, 462.638677];[365.104395, 462.638677];[354.356412, 480.721763];[365.104395, 480.721763];1
[43.5292, 481.5275];[55.716688, 481.5275];[43.5292, 502.0325];[55.716688, 502.0325];1
[567.9442, 481.5275];[580.131688, 481.5275];[567.9442, 502.0325];[580.131688, 502.0325];1
[215.3243, 518.9877];[344.511813, 518.9877];[215.3243, 551.7957];[344.511813, 551.7957];0
[243.600279, 553.645582];[316.231194, 553.645582];[243.600279, 571.735088];[316.231194, 571.735088];0
[45.3142, 623.2625];[53.918371, 623.2625];[45.3142, 643.7675];[53.918371, 643.7675];1
[569.7292, 623.2625];[578.333371, 623.2625];[569.7292, 643.7675];[578.333371, 643.7675];1
[58.374511, 658.940427];[143.929935, 658.940427];[58.374511, 702.123485];[143.929935, 702.123485];0
[97.294256, 708.32003];[113.608234, 708.32003];[97.294256, 716.069963];[113.608234, 716.069963];0
[287.176121, 658.707986];[322.927022, 658.707986];[287.176121, 680.631169];[322.927022, 680.631169];0
[154.123319, 658.946097];[171.172545, 658.946097];[154.123319, 666.69603];[171.172545, 666.69603];0
[141.832276, 708.149951];[171.140613, 708.149951];[141.832276, 715.899884];[171.140613, 715.899884];0
[190.537233, 708.110266];[204.160515, 708.110266];[190.537233, 715.860199];[204.160515, 715.860199];0
[375.923343, 662.880591];[444.952942, 662.880591];[375.923343, 670.630524];[444.952942, 670.630524];0
[491.327613, 663.441851];[515.579365, 663.441851];[491.327613, 671.191785];[515.579365, 671.191785];0
[340.416517, 708.110266];[353.322274, 708.110266];[340.416517, 715.860199];[353.322274, 715.860199];0
[58.5166, 719.984842];[76.896901, 719.984842];[58.5166, 727.734775];[76.896901, 727.734775];0
[59.3553, 731.955342];[76.058308, 731.955342];[59.3553, 739.705275];[76.058308, 739.705275];0
[44.0542, 748.7975];[55.158362, 748.7975];[44.0542, 769.3025];[55.158362, 769.3025];1
[57.830258, 743.566068];[77.580534, 743.566068];[57.830258, 751.316001];[77.580534, 751.316001];0
[59.876876, 755.896796];[72.5346, 755.896796];[59.876876, 763.646729];[72.5346, 763.646729];0
[214.439001, 766.47571];[241.741674, 766.47571];[214.439001, 774.225643];[241.741674, 774.225643];0
[60.97105, 767.836342];[71.445963, 767.836342];[60.97105, 775.586275];[71.445963, 775.586275];0
[109.2742, 810.3425];[117.586701, 810.3425];[109.2742, 830.8475];[117.586701, 830.8475];1
[214.3497, 803.42556];[236.343054, 803.42556];[214.3497, 811.168248];[236.343054, 811.168248];0
[236.8342, 810.3425];[245.146701, 810.3425];[236.8342, 830.8475];[245.146701, 830.8475];1
[340.025335, 766.47571];[366.333667, 766.47571];[340.025335, 774.225643];[366.333667, 774.225643];0
[321.3837, 767.525];[555.208596, 767.525];[321.3837, 800.333];[555.208596, 800.333];0
[340.365493, 803.56994];[366.190303, 803.56994];[340.365493, 811.319873];[366.190303, 811.319873];0
[541.0521, 769.293];[555.153496, 769.293];[541.0521, 784.33];[555.153496, 784.33];3
[378.5692, 810.3425];[386.881701, 810.3425];[378.5692, 830.8475];[386.881701, 830.8475];1
[466.235292, 803.56994];[499.02863, 803.56994];[466.235292, 811.319873];[499.02863, 811.319873];0
[506.1292, 810.3425];[514.441701, 810.3425];[506.1292, 830.8475];[514.441701, 830.8475];1
[568.4692, 748.7975];[579.573363, 748.7975];[568.4692, 769.3025];[579.573363, 769.3025];1
