element;xmin;ymin;xmax;ymax;ausrichtung;point_xmi_ymi;point_xma_ymi;point_xmi_yma;point_xma_yma
[['354.356412', '462.638677', '365.104395', '480.721763', 'C']];354.356412;462.638677;365.104395;480.721763;1;[354.356412, 462.638677];[365.104395, 462.638677];[354.356412, 480.721763];[365.104395, 480.721763]
[['43.529200', '481.527500', '55.716688', '502.032500', 'C']];43.5292;481.5275;55.716688;502.0325;1;[43.5292, 481.5275];[55.716688, 481.5275];[43.5292, 502.0325];[55.716688, 502.0325]
[['567.944200', '481.527500', '580.131688', '502.032500', 'C']];567.9442;481.5275;580.131688;502.0325;1;[567.9442, 481.5275];[580.131688, 481.5275];[567.9442, 502.0325];[580.131688, 502.0325]
[['215.324300', '518.987700', '313.902201', '551.795700', 'SECTION'], ['320.549300', '530.377002', '344.511813', '548.460088', 'A-A']];215.3243;518.9877;344.511813;551.7957;0;[215.3243, 518.9877];[344.511813, 518.9877];[215.3243, 551.7957];[344.511813, 551.7957]
[['243.600279', '553.645582', '283.919007', '571.728668', 'SCALE'], ['290.573800', '553.652002', '297.904484', '571.735088', '1'], ['301.569826', '553.652002', '305.235168', '571.735088', ':'], ['308.900510', '553.652002', '316.231194', '571.735088', '2']];243.600279;553.645582;316.231194;571.735088;0;[243.600279, 553.645582];[316.231194, 553.645582];[243.600279, 571.735088];[316.231194, 571.735088]
[['45.314200', '623.262500', '53.918371', '643.767500', 'B']];45.3142;623.2625;53.918371;643.7675;1;[45.3142, 623.2625];[53.918371, 623.2625];[45.3142, 643.7675];[53.918371, 643.7675]
[['569.729200', '623.262500', '578.333371', '643.767500', 'B']];569.7292;623.2625;578.333371;643.7675;1;[569.7292, 623.2625];[578.333371, 623.2625];[569.7292, 643.7675];[578.333371, 643.7675]
[['58.374511', '658.940427', '77.065380', '666.690360', 'UNLESS'], ['78.593078', '658.940427', '108.049534', '666.690360', 'OTHERWISE'], ['109.577232', '658.940427', '136.783504', '666.690360', 'SPECIFIED:'], ['58.374511', '666.027052', '91.485614', '673.776985', 'DIMENSIONS'], ['93.015263', '666.027052', '103.413563', '673.776985', 'ARE'], ['104.943213', '666.027052', '110.277656', '673.776985', 'IN'], ['111.807305', '666.027052', '143.929935', '673.776985', 'MILLIMETERS'], ['58.374511', '673.113677', '82.216538', '680.863610', 'SURFACE'], ['83.740359', '673.113677', '100.986496', '680.863610', 'FINISH:'], ['58.374511', '680.200302', '94.376732', '687.950235', 'TOLERANCES:'], ['62.962992', '687.286927', '82.774627', '695.036860', 'LINEAR:'], ['62.988220', '694.373552', '91.264538', '702.123485', 'ANGULAR:']];58.374511;658.940427;143.929935;702.123485;0;[58.374511, 658.940427];[143.929935, 658.940427];[58.374511, 702.123485];[143.929935, 702.123485]
[['97.294256', '708.320030', '113.608234', '716.069963', 'NAME']];97.294256;708.32003;113.608234;716.069963;0;[97.294256, 708.32003];[113.608234, 708.32003];[97.294256, 716.069963];[113.608234, 716.069963]
[['287.176121', '658.707986', '307.777860', '666.457919', 'DEBURR'], ['309.310678', '658.707986', '321.617492', '666.457919', 'AND'], ['287.176121', '665.794611', '304.083607', '673.544544', 'BREAK'], ['305.620147', '665.794611', '322.927022', '673.544544', 'SHARP'], ['287.176121', '672.881236', '304.836568', '680.631169', 'EDGES']];287.176121;658.707986;322.927022;680.631169;0;[287.176121, 658.707986];[322.927022, 658.707986];[287.176121, 680.631169];[322.927022, 680.631169]
[['154.123319', '658.946097', '171.172545', '666.696030', 'FINISH:']];154.123319;658.946097;171.172545;666.69603;0;[154.123319, 658.946097];[171.172545, 658.946097];[154.123319, 666.69603];[171.172545, 666.69603]
[['141.832276', '708.149951', '171.140613', '715.899884', 'SIGNATURE']];141.832276;708.149951;171.140613;715.899884;0;[141.832276, 708.149951];[171.140613, 708.149951];[141.832276, 715.899884];[171.140613, 715.899884]
[['190.537233', '708.110266', '204.160515', '715.860199', 'DATE']];190.537233;708.110266;204.160515;715.860199;0;[190.537233, 708.110266];[204.160515, 708.110266];[190.537233, 715.860199];[204.160515, 715.860199]
[['375.923343', '662.880591', '384.890464', '670.630524', 'DO'], ['386.430385', '662.880591', '397.743523', '670.630524', 'NOT'], ['399.283444', '662.880591', '416.233693', '670.630524', 'SCALE'], ['417.773614', '662.880591', '444.952942', '670.630524', 'DRAWING']];375.923343;662.880591;444.952942;670.630524;0;[375.923343, 662.880591];[444.952942, 662.880591];[375.923343, 670.630524];[444.952942, 670.630524]
[['491.327613', '663.441851', '515.579365', '671.191785', 'REVISION']];491.327613;663.441851;515.579365;671.191785;0;[491.327613, 663.441851];[515.579365, 663.441851];[491.327613, 671.191785];[515.579365, 671.191785]
[['340.416517', '708.110266', '353.322274', '715.860199', 'TITLE:']];340.416517;708.110266;353.322274;715.860199;0;[340.416517, 708.110266];[353.322274, 708.110266];[340.416517, 715.860199];[353.322274, 715.860199]
